datetime,SP15,NonSpin,RegDown,RegUp,Spin,expected_price,expected_upper,expected_lower,anomaly,is_genuine,anomaly_adjusted,gradcam,volatility
2024-11-23 08:00:00,44.460343333333334,0.75,3.5,2.01,0.75,51.285595,118.17709,-15.605907,0.004707503637151574,0.34847882746213266,0.004707503637151574,0.0,15.638253880813558
2024-11-23 09:00:00,43.648426666666666,0.5,5.94607,1.24838,0.5,35.509727,102.40123,-31.381775,0.005118743547144262,0.40194824532071455,0.005118743547144262,0.0,15.62228613805139
2024-11-23 10:00:00,42.43561,0.5,3.37795,0.54,0.5,54.30438,121.19588,-12.587124,0.0041574507614491685,0.39817178891040544,0.0041574507614491685,0.0,15.610794436637512
2024-11-23 11:00:00,42.216836666666666,0.5,3.5,1.03459,0.5,51.092625,117.98413,-15.798878,0.004791328298331284,0.4087252018213721,0.004791328298331284,0.0,15.597059056422216
2024-11-23 12:00:00,42.522936666666666,0.5,4.0,0.5,0.5,42.542225,109.43373,-24.349277,0.003913849152076143,0.4084880192159217,0.003913849152076143,0.0,15.56737445276902
2024-11-23 13:00:00,45.61997,0.5,6.06,0.55,0.5,50.200592,117.092094,-16.69091,0.00512174169375874,0.38172656359443147,0.00512174169375874,0.0,15.358400077347227
2024-11-23 14:00:00,48.80721333333333,0.75,5.88,5.0,0.75,49.79161,116.68311,-17.099892,0.0063365321662646875,0.3824804640447165,0.0063365321662646875,0.0,14.994973175020327
2024-11-23 15:00:00,41.98210666666667,0.75,10.0,7.39,0.75,37.037003,103.928505,-29.8545,0.004997098323651209,0.3450591050973521,0.004997098323651209,0.0,14.924785655257253
2024-11-23 16:00:00,26.86312,2.40338,5.0,8.07781,2.40338,20.620687,87.51219,-46.270813,0.011868537625103131,0.2582397714621991,0.011868537625103131,0.0,14.875227698501481
2024-11-23 17:00:00,26.30723,0.75,7.0,2.54,0.75,25.797585,92.68909,-41.093918,0.013330073462321903,0.4049757635151475,0.013330073462321903,0.0,14.771097272260432
2024-11-23 18:00:00,25.24615,0.75,4.51,2.99203,0.75,19.095242,85.98674,-47.79626,0.012068822828526612,0.3988353248546259,0.012068822828526612,0.0,14.615643383656636
2024-11-23 19:00:00,20.37505333333333,1.08,7.0,2.14,1.08,21.106653,87.99815,-45.78485,0.019839327897656536,0.3582577111822851,0.019839327897656536,0.0,14.646814076165782
2024-11-23 20:00:00,18.656456666666667,0.75,7.989999999999999,2.01,1.08,14.344611,81.236115,-52.54689,0.024199046288167683,0.3887768128157657,0.024199046288167683,0.0,14.842742384456466
2024-11-23 21:00:00,18.960293333333336,0.62,7.73,2.03,0.62,21.126184,88.017685,-45.76532,0.023068004654733448,0.4021620603274929,0.023068004654733448,0.0,14.952888578969185
2024-11-23 22:00:00,21.463489999999997,0.97857,7.236400000000001,2.36913,0.97857,23.61318,90.504684,-43.27832,0.019451763879852448,0.3795162536858559,0.019451763879852448,0.0,15.151163703957224
2024-11-23 23:00:00,41.930836666666664,1.41322,16.21382,1.74293,1.41322,42.832253,109.723755,-24.05925,0.004796463412517802,0.20167483307672524,0.004796463412517802,0.0,15.031969426073246
