timestep,gradcam
331,0.436705
332,0.05841712
333,0.0027607095
334,0.17693242
335,0.39010367
336,0.27129397
337,0.0051988615
338,0.20650318
339,0.2139531
340,0.13880348
341,0.5893232
342,0.36939436
343,0.26144108
344,0.14108017
345,0.06708339
346,0.20364992
347,0.099906445
348,0.077660896
349,0.14969537
350,0.08706961
351,0.1946741
352,0.041962225
353,0.47323233
354,0.25785565
355,0.2961641
356,0.16778067
357,0.2895754
358,0.0023263576
359,0.14828412
360,0.21319085
361,0.028575271
362,0.04736952
363,0.054567486
364,0.13920881
365,0.02464174
366,0.20323023
367,0.26547313
368,0.012177504
369,0.2816704
370,0.043355532
371,0.014777696
372,0.2038659
373,0.10884431
374,0.13799243
375,0.123075224
376,0.37173828
377,0.13510525
378,0.01191887
379,0.08023632
380,0.1380448
381,0.12125455
382,0.076010354
383,0.12038139
384,0.33531997
385,0.23553425
386,0.37751448
387,0.12755741
388,0.066432014
389,0.061691765
390,0.28686163
391,0.18252061
392,0.08650923
393,0.30494103
394,0.105302155
395,0.004052062
396,0.30734062
397,0.09084068
398,0.35295042
399,0.06181685
400,0.23330528
401,0.16993412
402,0.11729127
403,0.078300714
404,0.09230356
405,0.060424283
406,0.03323734
407,0.15924324
408,0.44005796
409,0.08689298
410,0.3755537
411,0.0770067
412,0.13685237
413,0.022137111
414,0.2607535
415,0.04217503
416,0.0013271222
417,0.28709084
418,0.06533772
419,0.020767981
420,0.102522515
421,0.14383437
422,0.20000765
423,0.11308413
424,0.336167
425,0.009122177
426,0.13482791
427,0.28124177
428,0.019465314
429,0.08494561
430,0.0777184
431,0.017512573
432,0.54205704
433,0.14116676
434,0.26389134
435,0.2711923
436,0.15554388
437,0.36129192
438,0.5009192
439,0.6672675
440,0.3569454
441,0.024098612
442,0.27662846
443,0.24517947
444,0.117926136
445,0.19124427
446,0.14911914
447,0.3495002
448,0.45931262
449,0.6348966
450,0.64888227
451,0.50449103
452,0.31504366
453,0.45348036
454,0.29410246
455,0.2534635
